dolar amerykañski;USD;3.69;3.7646
dolar australijski;AUD;2.8368;2.8942
dolar kanadyjski;CAD;2.8929;2.9513
euro;EUR;4.4821;4.5727
forint (Wêgry);HUF;0.012531;0.012785
frank szwajcarski;CHF;4.1527;4.2365
funt szterling;GBP;5.0642;5.1666
jen (Japonia);JPY;0.03522;0.035932
korona czeska;CZK;0.1724;0.1758
korona duñska;DKK;0.6026;0.6148
korona norweska;NOK;0.4326;0.4414
korona szwedzka;SEK;0.443;0.452
SDR (MFW);XDR;5.3331;5.4409
